channel_id,channel_name,agency,is_vtuber,is_active
a7e175625fdea5a7d98428302b7aa57f,,,TRUE,TRUE
64d76089fba26b180d9c9e48a32600d9,,,TRUE,TRUE
a6c4ddb09cdb160478996007bff35296,,,TRUE,TRUE
4515b179f86b67b4981e16190817c580,,,TRUE,TRUE
a67b328bcc8eea4451ccfa754bc19ae1,,,TRUE,TRUE
4d812b586ff63f8a2946e64fa860bbf5,,,TRUE,TRUE
b5ed5db484d04faf4d150aedd362f34b,,,TRUE,TRUE
b044e3a3b9259246bc92e863e7d3f3b8,,,TRUE,TRUE
a9a343510e132ea3026ff3cf682820b5,,,TRUE,TRUE
b68af124ae2f1743a1dcbf5e2ab41e0b,,,TRUE,TRUE
32fb866e323242b770cdc790f991a6f6,,,TRUE,TRUE
3c9fe16c70cf2f4a5274fa69307f0f89,,,TRUE,TRUE
a048127622edd6c3ee8e477471a1d823,,,TRUE,TRUE
8a933cb3a86c52aadb2483aa4eed72aa,,,TRUE,TRUE
d5e2e0c14dcca4c4b10c7c9633022f52,,,TRUE,TRUE
affa78deac0b23d2046b8ed4856c1e62,,,TRUE,TRUE
c7d3b49d29be2d2b1d74ba8403f5851a,,,TRUE,TRUE
17d8605fc37fb5ef49f5f67ae786fe4e,,,TRUE,TRUE
ec30975bd41d3179fe7734ddbf760acb,,,TRUE,TRUE
93fe884808459fb4e4a3c7d64f0eef03,,,TRUE,TRUE
a3ceb9179d99be8d1e63b3e911fcd16b,,,TRUE,TRUE
ead28b71f3fdd5e8b52321825217a065,,,TRUE,TRUE
2708947b66f527fd74e6b3d6bcc1349b,,,TRUE,TRUE
3e825479d71ead63b76de0d6f6b5dc83,,,TRUE,TRUE
f3228c570a0b3b1f0f8306e3479ea46b,,,TRUE,TRUE
d7c83d4ce76a835ba79e27e5e46cb3e2,,,TRUE,TRUE
ba1469a50bdc7f420d775f43f29b1414,,,TRUE,TRUE
59aa824e4c4a56dd51e7a5e2e9172648,,,TRUE,TRUE
fb3220c02c64d799b31e97f432afebc0,,,TRUE,TRUE
f638e750b76165c23e4f1530c166df1a,,,TRUE,TRUE
afff6e3cc8c1487bc4135bc896811dcc,,,TRUE,TRUE
60761dc68dca3092c55c4371710ce848,,,TRUE,TRUE
8ecadcb05be3f97875b5aa3d8ced1347,,,TRUE,TRUE
faf9cdd37e2ce5e2af6944dbf42739a9,,,TRUE,TRUE
4885cc52d10d534564057267b8e380be,,,TRUE,TRUE
e0b11eab54ad5ecf2306fdd2d7e4f5c2,,,TRUE,TRUE
b3f0dd09666949762e0da59210c3f403,,,TRUE,TRUE
34d7c5fc0acaddc2e38053e5e54d771b,,,TRUE,TRUE
d20f164fe5946abe0bce2e5a43052923,,,TRUE,TRUE
3b3fe69e8b274ccaa4fd56ce9680a1f5,,,TRUE,TRUE
aa66ed6da9e203c26807c0cd3579983a,,,TRUE,TRUE
c8adce2ff4a3618931e07c327e1fa070,,,TRUE,TRUE
076b5984789b249599352ab8bd8420be,,,TRUE,TRUE
1d333ff175b4db5bd06f87a88579ec1e,,,TRUE,TRUE
390efc6c5186f85427b2d61297a9d4ed,,,TRUE,TRUE
b73696a325726b5aba0c391b4c70ab46,,,TRUE,TRUE
8f3661d67e49f0b84736059952d59f06,,,TRUE,TRUE
b8b36da0d46acde123539f53daa23f7d,,,TRUE,TRUE
6f1ae352c78027acf1bd92589fc44128,,,TRUE,TRUE
0bd59e5f864251961191315e9efecaf1,,,TRUE,TRUE
57609599a4cb3bb0e65325235f276e42,,,TRUE,TRUE
dcfd3c7cf3c05b41306a4cc249ad5c9f,,,TRUE,TRUE
16267ae4675f980df5e77bafea37495f,,,TRUE,TRUE
053101af87b327b3e636353a7c4c4905,,,TRUE,TRUE
f49ebb4cc978594951f227badeb5a12c,,,TRUE,TRUE
206afc6829e734e662ed0bf24dcbac0e,,,TRUE,TRUE
8efc3862292897d542f8cb238cf7d367,,,TRUE,TRUE
dae941286535b489b5282a8910fb0363,,,TRUE,TRUE
ed3f2b9e1f3df94090cc0e21bce64519,,,TRUE,TRUE
5d6a0908bb4eac47f3d839cbffe60961,,,TRUE,TRUE
98538102121a4704260eb77e088ddaf0,,,TRUE,TRUE
6bcc1c4b89128eac7bc7a7d698ef7aa2,,,TRUE,TRUE
573aba785831e27446c5d765ced4de7b,,,TRUE,TRUE
d3feaaee7b98d56475dad56e9ab73827,,,TRUE,TRUE
5e4ef081ec96bdca5a4989554864bb05,,,TRUE,TRUE
78d950b1c85bffff10367c4735aa6cfc,,,TRUE,TRUE
41ee65516ac04b87a0d3cf5a99ec807a,,,TRUE,TRUE
912b559dcdd9c9ea1fe97864925738bf,,,TRUE,TRUE
0a2020b09b8cc7f2285b7ae5de2ce4d3,,,TRUE,TRUE
eaf7b569c9992d0e57db0059eb5c0eeb,,,TRUE,TRUE
8f3661d67e49f0b84736059952d59f06,,,TRUE,TRUE
2417b47685106ec21b79c8803b7f1ecf,,,TRUE,TRUE
81bd5b50f0c0728128442daf7db626fc,,,TRUE,TRUE
844d222a850ac5822a9a68870a24b786,,,TRUE,TRUE
11f9a14c3439b7b1ceadd819d61624da,,,TRUE,TRUE
b82e8bc2505e37156b2d1140ba1fc05c,,,TRUE,TRUE
9199eb6eb3dea874f47bbb35bd1dfee2,,,TRUE,TRUE
941ea3807ba8b9b7dddb1670e3e7e5af,,,TRUE,TRUE
6bd0bb97d31365e7834d8113bb01d889,,,TRUE,TRUE
475313e6c26639d5763628313b4c130e,,,TRUE,TRUE
a96cea2d2c39cec636ba8170c66a0510,,,TRUE,TRUE
6f1ae352c78027acf1bd92589fc44128,,,TRUE,TRUE
a8b44e07ea2e2a583aab4804f92ae0ba,,,TRUE,TRUE
b1ac916d727d32cb7f472b50f6f97654,,,TRUE,TRUE
